horodatage,temperature,humidite,pression,luminosite
2026-07-17T18:10:09,28.8,54.0,,
2026-07-17T18:10:11,28.8,54.0,,
2026-07-17T18:10:13,28.8,54.0,,
2026-07-17T18:10:15,28.8,54.0,,
2026-07-17T18:10:17,28.8,54.0,,
2026-07-17T18:10:19,28.8,54.0,,
2026-07-17T18:10:21,28.8,54.0,,
2026-07-17T18:10:23,28.8,54.0,,
2026-07-17T18:10:25,28.8,54.0,,
2026-07-17T18:10:27,28.8,54.0,,
2026-07-17T18:10:29,28.8,54.0,,
2026-07-17T18:10:31,28.8,54.0,,
2026-07-17T18:10:33,28.8,55.0,,
2026-07-17T18:10:35,28.8,55.0,,
2026-07-17T18:10:37,28.8,55.0,,
2026-07-17T18:10:39,28.8,55.0,,
2026-07-17T18:10:41,28.8,56.0,,
2026-07-17T18:10:44,28.8,58.0,,
2026-07-17T18:10:46,28.9,60.0,,
2026-07-17T18:10:48,29.0,62.0,,
2026-07-17T18:10:50,29.1,65.0,,
2026-07-17T18:10:52,29.2,67.0,,
2026-07-17T18:10:54,29.4,68.0,,
2026-07-17T18:10:56,29.5,69.0,,
2026-07-17T18:10:58,29.7,70.0,,
2026-07-17T18:11:00,29.9,70.0,,
2026-07-17T18:11:02,30.0,70.0,,
2026-07-17T18:11:04,30.1,69.0,,
2026-07-17T18:11:06,30.2,68.0,,
2026-07-17T18:11:08,30.3,66.0,,
2026-07-17T18:11:10,30.4,64.0,,
2026-07-17T18:11:12,30.4,63.0,,
2026-07-17T18:11:14,30.5,61.0,,
2026-07-17T18:11:16,30.5,60.0,,
2026-07-17T18:11:18,30.5,59.0,,
2026-07-17T18:11:20,30.5,58.0,,
2026-07-17T18:11:22,30.6,57.0,,
2026-07-17T18:11:24,30.6,56.0,,
2026-07-17T18:11:26,30.6,55.0,,
2026-07-17T18:11:28,30.6,54.0,,
2026-07-17T18:11:30,30.6,54.0,,
2026-07-17T18:11:32,30.6,53.0,,
2026-07-17T18:11:34,30.6,53.0,,
2026-07-17T18:11:36,30.5,52.0,,
2026-07-17T18:11:38,30.5,52.0,,
2026-07-17T18:11:40,30.5,52.0,,
2026-07-17T18:11:42,30.5,52.0,,
2026-07-17T18:11:44,30.5,52.0,,
2026-07-17T18:11:46,30.5,52.0,,
2026-07-17T18:11:48,30.4,52.0,,
2026-07-17T18:11:50,30.4,51.0,,
2026-07-17T18:11:52,30.4,51.0,,
2026-07-17T18:11:54,30.4,51.0,,
2026-07-17T18:11:56,30.4,51.0,,
2026-07-17T18:11:58,30.3,51.0,,
2026-07-17T18:12:00,30.3,51.0,,
2026-07-17T18:12:02,30.3,51.0,,
2026-07-17T18:12:05,30.3,51.0,,
2026-07-17T18:12:07,30.3,51.0,,
2026-07-17T18:12:09,30.2,51.0,,
2026-07-17T18:12:11,30.2,51.0,,
2026-07-17T18:12:13,30.2,51.0,,
2026-07-17T18:12:15,30.2,51.0,,
2026-07-17T18:12:17,30.2,51.0,,
2026-07-17T18:12:19,30.1,51.0,,
2026-07-17T18:12:21,30.1,51.0,,
2026-07-17T18:12:23,30.1,51.0,,
2026-07-17T18:12:25,30.1,51.0,,
2026-07-17T18:12:27,30.1,51.0,,
2026-07-17T18:12:29,30.0,51.0,,
2026-07-17T18:12:31,30.0,51.0,,
2026-07-17T18:12:33,30.0,51.0,,
2026-07-17T18:12:35,30.0,51.0,,
2026-07-17T18:12:37,30.0,51.0,,
2026-07-17T18:12:39,29.9,51.0,,
2026-07-17T18:12:41,29.9,51.0,,
2026-07-17T18:12:43,29.9,51.0,,
2026-07-17T18:12:45,29.9,51.0,,
2026-07-17T18:12:47,29.9,51.0,,
2026-07-17T18:12:49,29.9,51.0,,
2026-07-17T18:12:51,29.8,51.0,,
2026-07-17T18:12:53,29.8,51.0,,
2026-07-17T18:12:55,29.8,51.0,,
2026-07-17T18:12:57,29.8,51.0,,
2026-07-17T18:12:59,29.8,52.0,,
2026-07-17T18:13:01,29.8,52.0,,
2026-07-17T18:13:03,29.7,52.0,,
2026-07-17T18:13:05,29.7,52.0,,
2026-07-17T18:13:07,29.7,52.0,,
2026-07-17T18:13:09,29.7,52.0,,
2026-07-17T18:13:11,29.7,52.0,,
2026-07-17T18:13:13,29.7,52.0,,
2026-07-17T18:13:15,29.6,52.0,,
2026-07-17T18:13:17,29.6,52.0,,
2026-07-17T18:13:19,29.6,52.0,,
2026-07-17T18:13:21,29.6,52.0,,
2026-07-17T18:13:23,29.6,52.0,,
2026-07-17T18:13:26,29.6,52.0,,
2026-07-17T18:13:28,29.6,52.0,,
2026-07-17T18:13:30,29.5,52.0,,
2026-07-17T18:13:32,29.5,52.0,,
2026-07-17T18:13:34,29.5,52.0,,
2026-07-17T18:13:36,29.5,52.0,,
2026-07-17T18:13:38,29.5,52.0,,
2026-07-17T18:13:40,29.5,52.0,,
2026-07-17T18:13:42,29.5,52.0,,
2026-07-17T18:13:44,29.5,52.0,,
2026-07-17T18:13:46,29.4,52.0,,
2026-07-17T18:13:48,29.4,52.0,,
2026-07-17T18:13:50,29.4,52.0,,
2026-07-17T18:13:52,29.4,52.0,,
2026-07-17T18:13:54,29.4,52.0,,
2026-07-17T18:13:56,29.4,52.0,,
2026-07-17T18:13:58,29.4,52.0,,
2026-07-17T18:14:00,29.4,52.0,,
2026-07-17T18:14:02,29.3,52.0,,
2026-07-17T18:14:04,29.3,53.0,,
2026-07-17T18:14:06,29.3,53.0,,
2026-07-17T18:14:08,29.3,53.0,,
2026-07-17T18:14:10,29.3,53.0,,
2026-07-17T18:14:12,29.3,53.0,,
2026-07-17T18:14:14,29.3,53.0,,
2026-07-17T18:14:16,29.3,53.0,,
2026-07-17T18:14:18,29.3,53.0,,
2026-07-17T18:14:20,29.3,53.0,,
2026-07-17T18:14:22,29.2,53.0,,
2026-07-17T18:14:24,29.2,53.0,,
2026-07-17T18:14:26,29.2,53.0,,
2026-07-17T18:14:28,29.2,53.0,,
2026-07-17T18:14:30,29.2,53.0,,
2026-07-17T18:14:32,29.2,53.0,,
2026-07-17T18:14:34,29.2,53.0,,
2026-07-17T18:14:36,29.2,53.0,,
2026-07-17T18:14:38,29.2,53.0,,
2026-07-17T18:14:40,29.2,53.0,,
2026-07-17T18:14:42,29.2,53.0,,
2026-07-17T18:14:44,29.2,53.0,,
2026-07-17T18:14:47,29.1,53.0,,
2026-07-17T18:14:49,29.1,53.0,,
2026-07-17T18:14:51,29.1,53.0,,
2026-07-17T18:14:53,29.1,53.0,,
2026-07-17T18:14:55,29.1,53.0,,
2026-07-17T18:14:57,29.1,53.0,,
2026-07-17T18:14:59,29.1,53.0,,
2026-07-17T18:15:01,29.1,53.0,,
2026-07-17T18:15:03,29.1,53.0,,
2026-07-17T18:15:05,29.1,53.0,,
2026-07-17T18:15:07,29.1,53.0,,
2026-07-17T18:15:09,29.1,53.0,,
2026-07-17T18:15:11,29.1,53.0,,
2026-07-17T18:15:13,29.1,53.0,,
2026-07-17T18:15:15,29.1,53.0,,
2026-07-17T18:15:17,29.0,53.0,,
2026-07-17T18:15:19,29.0,54.0,,
2026-07-17T18:15:21,29.0,54.0,,
2026-07-17T18:15:23,29.0,54.0,,
2026-07-17T18:15:25,29.0,54.0,,
2026-07-17T18:15:27,29.0,54.0,,
2026-07-17T18:15:29,29.0,54.0,,
2026-07-17T18:15:31,29.0,54.0,,
2026-07-17T18:15:33,29.0,54.0,,
2026-07-17T18:15:35,29.0,54.0,,
2026-07-17T18:15:37,29.0,54.0,,
2026-07-17T18:15:39,29.0,54.0,,
2026-07-17T18:15:41,29.0,54.0,,
2026-07-17T18:15:43,29.0,54.0,,
2026-07-17T18:15:45,29.0,54.0,,
2026-07-17T18:15:47,29.0,54.0,,
2026-07-17T18:15:49,29.0,54.0,,
2026-07-17T18:15:51,29.0,54.0,,
2026-07-17T18:15:53,29.0,54.0,,
2026-07-17T18:15:55,28.9,54.0,,
2026-07-17T18:15:57,28.9,54.0,,
2026-07-17T18:15:59,28.9,54.0,,
2026-07-17T18:16:01,28.9,54.0,,
2026-07-17T18:16:03,28.9,54.0,,
2026-07-17T18:16:05,28.9,54.0,,
2026-07-17T18:16:08,28.9,54.0,,
2026-07-17T18:16:10,28.9,54.0,,
2026-07-17T18:16:12,28.9,54.0,,
2026-07-17T18:16:14,28.9,54.0,,
2026-07-17T18:16:16,28.9,54.0,,
2026-07-17T18:16:18,28.9,54.0,,
2026-07-17T18:16:20,28.9,54.0,,
2026-07-17T18:16:22,28.9,54.0,,
2026-07-17T18:16:24,28.9,54.0,,
2026-07-17T18:16:26,28.9,54.0,,
2026-07-17T18:16:28,28.9,54.0,,
2026-07-17T18:16:30,28.9,54.0,,
2026-07-17T18:16:32,28.9,54.0,,
2026-07-17T18:16:34,28.9,54.0,,
2026-07-17T18:16:36,28.9,54.0,,
2026-07-17T18:16:38,28.9,54.0,,
2026-07-17T18:16:40,28.9,54.0,,
2026-07-17T18:16:42,28.9,54.0,,
2026-07-17T18:16:44,28.9,54.0,,
2026-07-17T18:16:46,28.9,54.0,,
